Country/Region,Province/State,Confirmed,Recovered,Deaths,Date
India,Andaman and Nicobar Islands,33,33,0,6/10/2020
India,Andhra Pradesh,5070,2802,77,6/10/2020
India,Arunachal Pradesh,57,1,0,6/10/2020
India,Assam,2937,1085,4,6/10/2020
India,Bihar,5459,2864,32,6/10/2020
India,Chandigarh,323,286,5,6/10/2020
India,Chhattisgarh,1240,386,6,6/10/2020
India,Dadar Nagar Haveli,22,2,0,6/10/2020
India,Delhi,31309,11861,905,6/10/2020
India,Goa,359,67,0,6/10/2020
India,Gujarat,21014,14365,1313,6/10/2020
India,Haryana,5209,2134,45,6/10/2020
India,Himachal Pradesh,445,249,5,6/10/2020
India,Jammu and Kashmir,4346,1506,48,6/10/2020
India,Jharkhand,1411,559,8,6/10/2020
India,Karnataka,5921,2604,66,6/10/2020
India,Kerala,2096,848,16,6/10/2020
India,Ladakh,108,52,1,6/10/2020
India,Madhya Pradesh,9849,6729,420,6/10/2020
India,Maharashtra,90787,42638,3289,6/10/2020
India,Manipur,304,61,0,6/10/2020
India,Meghalaya,43,13,1,6/10/2020
India,Mizoram,88,1,0,6/10/2020
India,Nagaland,127,10,0,6/10/2020
India,Odisha,3140,2133,9,6/10/2020
India,Puducherry,127,52,0,6/10/2020
India,Punjab,2719,2167,55,6/10/2020
India,Rajasthan,11245,8328,255,6/10/2020
India,Sikkim,13,0,0,6/10/2020
India,Tamil Nadu,34914,18325,307,6/10/2020
India,Telangana,3920,1809,148,6/10/2020
India,Tripura,864,192,1,6/10/2020
India,Unknown,9227,0,0,6/10/2020
India,Uttar Pradesh,11335,6669,301,6/10/2020
India,Uttarakhand,1537,755,13,6/10/2020
India,West Bengal,8985,3620,415,6/10/2020
India,Andaman and Nicobar Islands,38,33,0,6/11/2020
India,Andhra Pradesh,5429,3048,80,6/11/2020
India,Arunachal Pradesh,61,4,0,6/11/2020
India,Assam,3319,1432,6,6/11/2020
India,Bihar,5983,3266,36,6/11/2020
India,Chandigarh,332,286,5,6/11/2020
India,Chhattisgarh,1398,447,6,6/11/2020
India,Dadra and Nagar Haveli and Daman and Diu,30,2,0,6/11/2020
India,Delhi,34687,12731,1085,6/11/2020
India,Goa,417,67,0,6/11/2020
India,Gujarat,22032,15101,1385,6/11/2020
India,Haryana,5968,2260,64,6/11/2020
India,Himachal Pradesh,470,280,6,6/11/2020
India,Jammu and Kashmir,4574,1820,52,6/11/2020
India,Jharkhand,1599,630,8,6/11/2020
India,Karnataka,6245,2977,72,6/11/2020
India,Kerala,2244,968,18,6/11/2020
India,Ladakh,135,54,1,6/11/2020
India,Madhya Pradesh,10241,7042,431,6/11/2020
India,Maharashtra,97648,46078,3590,6/11/2020
India,Manipur,366,73,0,6/11/2020
India,Meghalaya,44,18,1,6/11/2020
India,Mizoram,102,1,0,6/11/2020
India,Nagaland,128,22,0,6/11/2020
India,Odisha,3386,2354,9,6/11/2020
India,Puducherry,157,67,2,6/11/2020
India,Punjab,2887,2259,59,6/11/2020
India,Rajasthan,11838,8775,265,6/11/2020
India,Sikkim,14,2,0,6/11/2020
India,Tamil Nadu,38716,20705,349,6/11/2020
India,Telangana,4320,1993,165,6/11/2020
India,Tripura,913,278,1,6/11/2020
India,Unknown,8315,0,0,6/11/2020
India,Uttar Pradesh,12088,7292,345,6/11/2020
India,Uttarakhand,1643,842,15,6/11/2020
India,West Bengal,9768,3988,442,6/11/2020
India,Andaman and Nicobar Islands,38,33,0,6/12/2020
India,Andhra Pradesh,5429,3048,80,6/12/2020
India,Arunachal Pradesh,61,4,0,6/12/2020
India,Assam,3319,1432,6,6/12/2020
India,Bihar,5983,3266,36,6/12/2020
India,Chandigarh,332,286,5,6/12/2020
India,Chhattisgarh,1398,447,6,6/12/2020
India,Dadra and Nagar Haveli and Daman and Diu,30,2,0,6/12/2020
India,Delhi,34687,12731,1085,6/12/2020
India,Goa,417,67,0,6/12/2020
India,Gujarat,22032,15101,1385,6/12/2020
India,Haryana,5968,2260,64,6/12/2020
India,Himachal Pradesh,470,280,6,6/12/2020
India,Jammu and Kashmir,4574,1820,52,6/12/2020
India,Jharkhand,1599,630,8,6/12/2020
India,Karnataka,6245,2977,72,6/12/2020
India,Kerala,2244,968,18,6/12/2020
India,Ladakh,135,54,1,6/12/2020
India,Madhya Pradesh,10241,7042,431,6/12/2020
India,Maharashtra,97648,46078,3590,6/12/2020
India,Manipur,366,73,0,6/12/2020
India,Meghalaya,44,18,1,6/12/2020
India,Mizoram,102,1,0,6/12/2020
India,Nagaland,128,22,0,6/12/2020
India,Odisha,3386,2354,9,6/12/2020
India,Puducherry,157,67,2,6/12/2020
India,Punjab,2887,2259,59,6/12/2020
India,Rajasthan,11838,8775,265,6/12/2020
India,Sikkim,14,2,0,6/12/2020
India,Tamil Nadu,38716,20705,349,6/12/2020
India,Telangana,4320,1993,165,6/12/2020
India,Tripura,913,278,1,6/12/2020
India,Unknown,8315,0,0,6/12/2020
India,Uttar Pradesh,12088,7292,345,6/12/2020
India,Uttarakhand,1643,842,15,6/12/2020
India,West Bengal,9768,3988,442,6/12/2020
India,Andaman and Nicobar Islands,38,33,0,6/13/2020
India,Andhra Pradesh,5680,3105,80,6/13/2020
India,Arunachal Pradesh,67,4,0,6/13/2020
India,Assam,3498,1537,8,6/13/2020
India,Bihar,6103,3587,36,6/13/2020
India,Chandigarh,334,286,5,6/13/2020
India,Chhattisgarh,1429,550,6,6/13/2020
India,Dadra and Nagar Haveli and Daman and Diu,30,2,0,6/13/2020
India,Delhi,36824,13398,1214,6/13/2020
India,Goa,463,69,0,6/13/2020
India,Gujarat,22527,15493,1415,6/13/2020
India,Haryana,6334,2475,70,6/13/2020
India,Himachal Pradesh,486,297,6,6/13/2020
India,Jammu and Kashmir,4730,2086,53,6/13/2020
India,Jharkhand,1617,672,8,6/13/2020
India,Karnataka,6516,3440,79,6/13/2020
India,Kerala,2322,1000,19,6/13/2020
India,Ladakh,239,62,1,6/13/2020
India,Madhya Pradesh,10443,7201,440,6/13/2020
India,Maharashtra,101141,47796,3717,6/13/2020
India,Manipur,385,77,0,6/13/2020
India,Meghalaya,44,22,1,6/13/2020
India,Mizoram,104,1,0,6/13/2020
India,Nagaland,156,49,0,6/13/2020
India,Odisha,3498,2474,10,6/13/2020
India,Puducherry,157,67,2,6/13/2020
India,Punjab,2986,2282,63,6/13/2020
India,Rajasthan,12068,8898,272,6/13/2020
India,Sikkim,63,2,0,6/13/2020
India,Tamil Nadu,40698,22047,367,6/13/2020
India,Telangana,4484,2278,174,6/13/2020
India,Tripura,961,278,1,6/13/2020
India,Unknown,7984,0,0,6/13/2020
India,Uttar Pradesh,12616,7609,365,6/13/2020
India,Uttarakhand,1724,947,21,6/13/2020
India,West Bengal,10244,4206,451,6/13/2020
India,Andaman and Nicobar Islands,38,33,0,6/14/2020
India,Andhra Pradesh,5965,3195,82,6/14/2020
India,Arunachal Pradesh,87,4,0,6/14/2020
India,Assam,3718,1584,8,6/14/2020
India,Bihar,6290,3956,39,6/14/2020
India,Chandigarh,345,286,5,6/14/2020
India,Chhattisgarh,1512,631,6,6/14/2020
India,Dadra and Nagar Haveli and Daman and Diu,35,2,0,6/14/2020
India,Delhi,38958,14945,1271,6/14/2020
India,Goa,523,70,0,6/14/2020
India,Gujarat,23038,15883,1448,6/14/2020
India,Haryana,6749,2803,78,6/14/2020
India,Himachal Pradesh,502,313,6,6/14/2020
India,Jammu and Kashmir,4878,2269,55,6/14/2020
India,Jharkhand,1711,816,8,6/14/2020
India,Karnataka,6824,3648,81,6/14/2020
India,Kerala,2407,1046,19,6/14/2020
India,Ladakh,437,68,1,6/14/2020
India,Madhya Pradesh,10641,7377,447,6/14/2020
India,Maharashtra,104568,49346,3830,6/14/2020
India,Manipur,449,91,0,6/14/2020
India,Meghalaya,44,22,1,6/14/2020
India,Mizoram,107,1,0,6/14/2020
India,Nagaland,163,76,0,6/14/2020
India,Odisha,3723,2594,10,6/14/2020
India,Puducherry,176,82,2,6/14/2020
India,Punjab,3063,2327,65,6/14/2020
India,Rajasthan,12401,9337,282,6/14/2020
India,Sikkim,63,4,0,6/14/2020
India,Tamil Nadu,42687,23409,397,6/14/2020
India,Telangana,4737,2352,182,6/14/2020
India,Tripura,1046,315,1,6/14/2020
India,Unknown,7436,0,0,6/14/2020
India,Uttar Pradesh,13118,7875,385,6/14/2020
India,Uttarakhand,1785,1077,23,6/14/2020
India,West Bengal,10698,4542,463,6/14/2020
India,Andaman and Nicobar Islands,41,33,0,6/15/2020
India,Andhra Pradesh,6456,3316,88,6/15/2020
India,Arunachal Pradesh,91,7,0,6/15/2020
India,Assam,4158,2166,8,6/15/2020
India,Bihar,6650,4409,40,6/15/2020
India,Chandigarh,354,296,6,6/15/2020
India,Chhattisgarh,1756,890,8,6/15/2020
India,Dadra and Nagar Haveli and Daman and Diu,36,5,0,6/15/2020
India,Delhi,42829,16427,1400,6/15/2020
India,Goa,592,85,0,6/15/2020
India,Gujarat,24055,16664,1505,6/15/2020
India,Haryana,7722,3565,100,6/15/2020
India,Himachal Pradesh,556,353,8,6/15/2020
India,Jammu and Kashmir,5220,2604,62,6/15/2020
India,Jharkhand,1763,905,8,6/15/2020
India,Karnataka,7213,4135,89,6/15/2020
India,Kerala,2543,1175,20,6/15/2020
India,Ladakh,555,82,1,6/15/2020
India,Madhya Pradesh,10935,7903,465,6/15/2020
India,Maharashtra,110744,56049,4128,6/15/2020
India,Manipur,490,151,0,6/15/2020
India,Meghalaya,44,25,1,6/15/2020
India,Mizoram,117,1,0,6/15/2020
India,Nagaland,177,92,0,6/15/2020
India,Odisha,4055,2854,11,6/15/2020
India,Puducherry,202,95,5,6/15/2020
India,Punjab,3267,2443,71,6/15/2020
India,Rajasthan,12981,9785,301,6/15/2020
India,Sikkim,68,4,0,6/15/2020
India,Tamil Nadu,46504,25344,479,6/15/2020
India,Telangana,5193,2766,187,6/15/2020
India,Tripura,1086,433,1,6/15/2020
India,Unknown,7684,0,0,6/15/2020
India,Uttar Pradesh,13615,8268,399,6/15/2020
India,Uttarakhand,1845,1189,24,6/15/2020
India,West Bengal,11494,5494,485,6/15/2020
India,Andaman and Nicobar Islands,44,33,0,6/16/2020
India,Andhra Pradesh,6841,3509,88,6/16/2020
India,Arunachal Pradesh,95,7,0,6/16/2020
India,Assam,4319,2166,8,6/16/2020
India,Bihar,6778,4644,41,6/16/2020
India,Chandigarh,358,302,6,6/16/2020
India,Chhattisgarh,1781,1036,9,6/16/2020
India,Dadra and Nagar Haveli and Daman and Diu,45,9,0,6/16/2020
India,Delhi,44688,16500,1837,6/16/2020
India,Goa,629,85,0,6/16/2020
India,Gujarat,24577,17082,1533,6/16/2020
India,Haryana,8272,3748,118,6/16/2020
India,Himachal Pradesh,560,372,8,6/16/2020
India,Jammu and Kashmir,5298,2781,63,6/16/2020
India,Jharkhand,1839,1121,9,6/16/2020
India,Karnataka,7530,4456,94,6/16/2020
India,Kerala,2622,1236,20,6/16/2020
India,Ladakh,649,85,1,6/16/2020
India,Madhya Pradesh,11083,8152,476,6/16/2020
India,Maharashtra,113445,57851,5537,6/16/2020
India,Manipur,500,159,0,6/16/2020
India,Meghalaya,44,25,1,6/16/2020
India,Mizoram,121,1,0,6/16/2020
India,Nagaland,179,92,0,6/16/2020
India,Odisha,4163,2974,11,6/16/2020
India,Puducherry,216,99,6,6/16/2020
India,Punjab,3371,2461,72,6/16/2020
India,Rajasthan,13216,9849,308,6/16/2020
India,Sikkim,70,4,0,6/16/2020
India,Tamil Nadu,48019,26782,528,6/16/2020
India,Telangana,5406,3027,191,6/16/2020
India,Tripura,1092,433,1,6/16/2020
India,Unknown,8273,0,0,6/16/2020
India,Uttar Pradesh,14091,8610,417,6/16/2020
India,Uttarakhand,1942,1216,25,6/16/2020
India,West Bengal,11909,6028,495,6/16/2020
India,Andaman and Nicobar Islands,44,33,0,6/17/2020
India,Andhra Pradesh,7071,3641,90,6/17/2020
India,Arunachal Pradesh,99,7,0,6/17/2020
India,Assam,4605,2642,8,6/17/2020
India,Bihar,6942,4926,44,6/17/2020
India,Chandigarh,368,303,6,6/17/2020
India,Chhattisgarh,1864,1180,10,6/17/2020
India,Dadra and Nagar Haveli and Daman and Diu,57,12,0,6/17/2020
India,Delhi,47102,17457,1904,6/17/2020
India,Goa,656,96,0,6/17/2020
India,Gujarat,25093,17430,1560,6/17/2020
India,Haryana,8832,3952,130,6/17/2020
India,Himachal Pradesh,569,372,8,6/17/2020
India,Jammu and Kashmir,5406,2914,65,6/17/2020
India,Jharkhand,1895,1151,10,6/17/2020
India,Karnataka,7734,4804,102,6/17/2020
India,Kerala,2697,1326,20,6/17/2020
India,Ladakh,687,92,1,6/17/2020
India,Madhya Pradesh,11244,8388,482,6/17/2020
India,Maharashtra,116752,59166,5651,6/17/2020
India,Manipur,552,192,0,6/17/2020
India,Meghalaya,44,30,1,6/17/2020
India,Mizoram,121,1,0,6/17/2020
India,Nagaland,193,103,0,6/17/2020
India,Odisha,4338,3047,11,6/17/2020
India,Puducherry,245,109,7,6/17/2020
India,Punjab,3497,2538,78,6/17/2020
India,Rajasthan,13542,10467,313,6/17/2020
India,Sikkim,70,4,0,6/17/2020
India,Tamil Nadu,50193,27624,576,6/17/2020
India,Telangana,5675,3071,192,6/17/2020
India,Tripura,1135,556,1,6/17/2020
India,Unknown,8703,0,0,6/17/2020
India,Uttar Pradesh,14598,8904,435,6/17/2020
India,Uttarakhand,2023,1254,26,6/17/2020
India,West Bengal,12300,6533,506,6/17/2020
India,Andaman and Nicobar Islands,44,33,0,6/18/2020
India,Andhra Pradesh,7518,3789,92,6/18/2020
India,Arunachal Pradesh,103,10,0,6/18/2020
India,Assam,4777,2654,9,6/18/2020
India,Bihar,7025,5056,44,6/18/2020
India,Chandigarh,374,306,6,6/18/2020
